Energy l=0 l=1 l=2 l=3 l=4 l=5 l=6 l=7 l=8 l=9 l=10
13.74000 -0.57018 0.72958 1.74962 2.47326 2.88369 2.97555 1.20547 0.14652 0.06525 0.03504 0.02053
13.98500 -0.60572 0.69588 1.71978 2.44957 2.86818 2.96883 1.36109 0.15370 0.06787 0.03638 0.02129
14.23000 -0.64087 0.66252 1.69018 2.42595 2.85258 2.96190 1.51784 0.16121 0.07056 0.03774 0.02207
14.47500 -0.67565 0.62949 1.66082 2.40243 2.83688 2.95479 1.66791 0.16907 0.07331 0.03913 0.02287
14.72000 -0.71006 0.59679 1.63170 2.37899 2.82111 2.94749 1.80527 0.17730 0.07614 0.04056 0.02368
14.96500 -0.74411 0.56441 1.60280 2.35565 2.80526 2.94001 1.92670 0.18593 0.07905 0.04201 0.02451
15.21000 -0.77781 0.53234 1.57414 2.33240 2.78934 2.93236 2.03155 0.19497 0.08202 0.04349 0.02535
15.45500 -0.81117 0.50057 1.54570 2.30924 2.77337 2.92455 2.12084 0.20447 0.08508 0.04500 0.02621
15.70000 -0.84420 0.46910 1.51747 2.28618 2.75734 2.91658 2.19641 0.21443 0.08821 0.04654 0.02709
15.94500 -0.87691 0.43792 1.48946 2.26322 2.74126 2.90845 2.26027 0.22491 0.09142 0.04812 0.02798
16.19000 -0.90930 0.40701 1.46167 2.24035 2.72514 2.90018 2.31432 0.23593 0.09472 0.04972 0.02888
16.43500 -0.94139 0.37639 1.43408 2.21758 2.70898 2.89177 2.36022 0.24754 0.09810 0.05136 0.02981
16.68000 -0.97317 0.34603 1.40669 2.19492 2.69279 2.88323 2.39935 0.25976 0.10156 0.05303 0.03075
16.92500 -1.00466 0.31594 1.37951 2.17235 2.67658 2.87455 2.43286 0.27265 0.10512 0.05473 0.03170
17.17000 -1.03586 0.28611 1.35253 2.14988 2.66034 2.86575 2.46166 0.28626 0.10876 0.05646 0.03267
17.41500 -1.06679 0.25653 1.32574 2.12751 2.64408 2.85683 2.48650 0.30063 0.11251 0.05823 0.03366
17.66000 -1.09744 0.22719 1.29914 2.10524 2.62780 2.84779 2.50799 0.31582 0.11635 0.06003 0.03467
17.90500 -1.12782 0.19810 1.27273 2.08308 2.61151 2.83864 2.52663 0.33189 0.12029 0.06186 0.03569
18.15000 -1.15793 0.16925 1.24650 2.06101 2.59521 2.82938 2.54282 0.34891 0.12433 0.06373 0.03673
18.39500 -1.18780 0.14063 1.22045 2.03905 2.57891 2.82003 2.55691 0.36694 0.12848 0.06564 0.03778
18.64000 -1.21741 0.11224 1.19459 2.01718 2.56260 2.81057 2.56915 0.38605 0.13273 0.06758 0.03886
18.88500 -1.24677 0.08407 1.16890 1.99541 2.54630 2.80102 2.57979 0.40633 0.13711 0.06955 0.03995
19.13000 -1.27589 0.05612 1.14339 1.97375 2.52999 2.79138 2.58902 0.42786 0.14159 0.07156 0.04105
19.37500 -1.30478 0.02839 1.11804 1.95218 2.51369 2.78165 2.59700 0.45071 0.14620 0.07361 0.04218
19.62000 -1.33344 0.00086 1.09286 1.93071 2.49740 2.77184 2.60387 0.47500 0.15093 0.07570 0.04332
19.86500 -1.36187 -0.02645 1.06785 1.90934 2.48111 2.76195 2.60975 0.50080 0.15579 0.07782 0.04448
20.11000 -1.39007 -0.05356 1.04300 1.88807 2.46484 2.75198 2.61474 0.52821 0.16078 0.07998 0.04566
20.35500 -1.41806 -0.08048 1.01831 1.86690 2.44858 2.74194 2.61892 0.55733 0.16591 0.08218 0.04685
20.60000 -1.44584 -0.10720 0.99378 1.84582 2.43233 2.73182 2.62237 0.58826 0.17118 0.08442 0.04807
20.84500 -1.47340 -0.13372 0.96941 1.82483 2.41610 2.72164 2.62517 0.62107 0.17660 0.08671 0.04930
21.09000 -1.50077 -0.16006 0.94518 1.80395 2.39989 2.71140 2.62736 0.65586 0.18217 0.08903 0.05055
21.33500 -1.52792 -0.18621 0.92111 1.78315 2.38370 2.70109 2.62900 0.69269 0.18789 0.09139 0.05182
21.58000 -1.55488 -0.21218 0.89719 1.76246 2.36753 2.69073 2.63012 0.73161 0.19378 0.09380 0.05311
21.82500 -1.58165 -0.23797 0.87341 1.74185 2.35138 2.68031 2.63078 0.77264 0.19983 0.09625 0.05441
22.07000 -1.60822 -0.26359 0.84977 1.72134 2.33525 2.66983 2.63101 0.81579 0.20606 0.09874 0.05574
22.31500 -1.63461 -0.28903 0.82628 1.70092 2.31914 2.65931 2.63083 0.86102 0.21247 0.10128 0.05708
22.56000 -1.66081 -0.31430 0.80293 1.68059 2.30307 2.64873 2.63028 0.90824 0.21907 0.10386 0.05845
22.80500 -1.68684 -0.33941 0.77972 1.66036 2.28701 2.63811 2.62939 0.95733 0.22586 0.10649 0.05983
23.05000 -1.71268 -0.36435 0.75664 1.64021 2.27099 2.62744 2.62816 1.00810 0.23285 0.10916 0.06124
23.29500 -1.73835 -0.38913 0.73369 1.62015 2.25499 2.61673 2.62664 1.06034 0.24005 0.11189 0.06266
23.54000 -1.76385 -0.41375 0.71088 1.60018 2.23902 2.60598 2.62482 1.11375 0.24747 0.11466 0.06410
23.78500 -1.78917 -0.43821 0.68820 1.58030 2.22308 2.59519 2.62274 1.16801 0.25511 0.11748 0.06557
24.03000 -1.81433 -0.46252 0.66564 1.56051 2.20717 2.58436 2.62041 1.22278 0.26299 0.12035 0.06705
24.27500 -1.83933 -0.48668 0.64322 1.54080 2.19129 2.57350 2.61783 1.27766 0.27110 0.12327 0.06855
24.52000 -1.86417 -0.51069 0.62091 1.52118 2.17544 2.56261 2.61503 1.33229 0.27947 0.12625 0.07008
24.76500 -1.88885 -0.53455 0.59873 1.50164 2.15963 2.55168 2.61202 1.38628 0.28809 0.12928 0.07163
25.01000 -1.91337 -0.55826 0.57668 1.48219 2.14384 2.54072 2.60880 1.43927 0.29699 0.13236 0.07319
25.25500 -1.93774 -0.58184 0.55474 1.46282 2.12809 2.52974 2.60539 1.49096 0.30616 0.13549 0.07478
25.50000 -1.96196 -0.60527 0.53292 1.44353 2.11238 2.51873 2.60180 1.54107 0.31563 0.13869 0.07639
25.74500 -1.98603 -0.62857 0.51122 1.42433 2.09669 2.50769 2.59803 1.58937 0.32540 0.14194 0.07802
25.99000 -2.00995 -0.65173 0.48963 1.40520 2.08104 2.49663 2.59410 1.63570 0.33547 0.14525 0.07968
26.23500 -2.03373 -0.67475 0.46815 1.38616 2.06543 2.48555 2.59001 1.67992 0.34588 0.14862 0.08136
26.48000 -2.05737 -0.69764 0.44679 1.36720 2.04985 2.47445 2.58577 1.72197 0.35661 0.15205 0.08305
26.72500 -2.08086 -0.72041 0.42554 1.34832 2.03430 2.46333 2.58138 1.76181 0.36770 0.15554 0.08478
26.97000 -2.10422 -0.74304 0.40440 1.32951 2.01879 2.45219 2.57686 1.79944 0.37914 0.15910 0.08652
27.21500 -2.12745 -0.76555 0.38336 1.31078 2.00332 2.44103 2.57220 1.83489 0.39096 0.16272 0.08829
27.46000 -2.15054 -0.78793 0.36243 1.29213 1.98788 2.42985 2.56742 1.86822 0.40316 0.16641 0.09008
27.70500 -2.17349 -0.81019 0.34161 1.27356 1.97247 2.41866 2.56251 1.89950 0.41576 0.17016 0.09190
27.95000 -2.19632 -0.83233 0.32089 1.25506 1.95711 2.40746 2.55749 1.92880 0.42878 0.17399 0.09373
28.19500 -2.21902 -0.85434 0.30028 1.23664 1.94177 2.39624 2.55236 1.95622 0.44221 0.17788 0.09560
28.44000 -2.24160 -0.87624 0.27976 1.21829 1.92648 2.38501 2.54712 1.98186 0.45609 0.18185 0.09749
28.68500 -2.26405 -0.89803 0.25935 1.20002 1.91122 2.37377 2.54177 2.00581 0.47041 0.18589 0.09940
28.93000 -2.28637 -0.91969 0.23903 1.18182 1.89600 2.36252 2.53632 2.02816 0.48520 0.19001 0.10134
29.17500 -2.30858 -0.94125 0.21881 1.16369 1.88082 2.35126 2.53078 2.04901 0.50047 0.19420 0.10330
29.42000 -2.33067 -0.96269 0.19869 1.14563 1.86567 2.34000 2.52515 2.06846 0.51622 0.19847 0.10529
29.66500 -2.35263 -0.98402 0.17866 1.12765 1.85056 2.32872 2.51943 2.08658 0.53248 0.20282 0.10730
29.91000 -2.37449 -1.00524 0.15873 1.10973 1.83548 2.31744 2.51362 2.10346 0.54924 0.20726 0.10934
30.15500 -2.39622 -1.02636 0.13889 1.09189 1.82044 2.30615 2.50773 2.11919 0.56653 0.21178 0.11141
30.40000 -2.41785 -1.04737 0.11914 1.07411 1.80544 2.29486 2.50175 2.13383 0.58435 0.21638 0.11351
30.64500 -2.43936 -1.06827 0.09949 1.05640 1.79048 2.28357 2.49570 2.14745 0.60272 0.22107 0.11563
30.89000 -2.46076 -1.08907 0.07992 1.03876 1.77555 2.27227 2.48958 2.16012 0.62162 0.22586 0.11778
31.13500 -2.48206 -1.10977 0.06044 1.02119 1.76066 2.26096 2.48338 2.17190 0.64108 0.23073 0.11995
31.38000 -2.50324 -1.13037 0.04105 1.00369 1.74581 2.24966 2.47712 2.18284 0.66110 0.23570 0.12216
31.62500 -2.52432 -1.15086 0.02175 0.98625 1.73100 2.23835 2.47079 2.19299 0.68167 0.24076 0.12439
31.87000 -2.54530 -1.17126 0.00254 0.96887 1.71622 2.22704 2.46439 2.20241 0.70280 0.24593 0.12666
32.11500 -2.56617 -1.19156 -0.01660 0.95157 1.70147 2.21573 2.45793 2.21114 0.72447 0.25119 0.12895
32.36000 -2.58694 -1.21177 -0.03564 0.93432 1.68677 2.20443 2.45141 2.21922 0.74670 0.25656 0.13127
32.60500 -2.60761 -1.23188 -0.05461 0.91714 1.67210 2.19312 2.44483 2.22669 0.76945 0.26203 0.13362
32.85000 -2.62818 -1.25189 -0.07349 0.90003 1.65747 2.18181 2.43819 2.23359 0.79274 0.26761 0.13601
33.09500 -2.64865 -1.27182 -0.09229 0.88297 1.64287 2.17051 2.43150 2.23994 0.81652 0.27330 0.13842
33.34000 -2.66902 -1.29165 -0.11101 0.86598 1.62831 2.15921 2.42475 2.24578 0.84080 0.27910 0.14087
